reportNumber,incidentYear,cause,installationYear,material
20130260,2013,MECHANICAL_DAMAGE,,
20130261,2013,MECHANICAL_DAMAGE,,
20130262,2013,MECHANICAL_DAMAGE,,
20130263,2013,OTHER,1963,CARBON STEEL
20130264,2013,MECHANICAL_DAMAGE,,
20130265,2013,MECHANICAL_DAMAGE,1963,CARBON STEEL
20130266,2013,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20130267,2013,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20130268,2013,MATERIAL_FAILURE,1949,CARBON STEEL
20130269,2013,MECHANICAL_DAMAGE,1960,CARBON STEEL
20130270,2013,OTHER,,
20130271,2013,MATERIAL_FAILURE,1971,CARBON STEEL
20130272,2013,INTERNAL_CORROSION,,CARBON STEEL
20130273,2013,MECHANICAL_DAMAGE,,
20130274,2013,MATERIAL_FAILURE,1962,CARBON STEEL
20130275,2013,MATERIAL_FAILURE,1962,CARBON STEEL
20130276,2013,OTHER,2012,CARBON STEEL
20130277,2013,INTERNAL_CORROSION,,
20130278,2013,OTHER,,
20130279,2013,MECHANICAL_DAMAGE,,
20130280,2013,MECHANICAL_DAMAGE,,
20130281,2013,INTERNAL_CORROSION,1990,CARBON STEEL
20130282,2013,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20130283,2013,INTERNAL_CORROSION,1963,CARBON STEEL
20130284,2013,INTERNAL_CORROSION,1977,CARBON STEEL
20130285,2013,MECHANICAL_DAMAGE,,
20130286,2013,OTHER,1944,CARBON STEEL
20130287,2013,MECHANICAL_DAMAGE,,
20130288,2013,OTHER,2013,CARBON STEEL
20130289,2013,MECHANICAL_DAMAGE,1956,CARBON STEEL
20130290,2013,EXTERNAL_CORROSION,2000,CARBON STEEL
20130291,2013,MECHANICAL_DAMAGE,,
20130292,2013,MECHANICAL_DAMAGE,,
20130293,2013,OTHER,,
20130294,2013,MECHANICAL_DAMAGE,,
20130295,2013,MECHANICAL_DAMAGE,2012,CARBON STEEL
20130296,2013,OTHER,,CARBON STEEL
20130297,2013,MECHANICAL_DAMAGE,2003,CARBON STEEL
20130298,2013,INTERNAL_CORROSION,,CARBON STEEL
20130299,2013,EXTERNAL_CORROSION,,
20130300,2013,INTERNAL_CORROSION,,
20130301,2013,OTHER,,
20130302,2013,INTERNAL_CORROSION,,
20130304,2013,MATERIAL_FAILURE,1963,CARBON STEEL
20130305,2013,MATERIAL_FAILURE,1954,CARBON STEEL
20130306,2013,MECHANICAL_DAMAGE,1958,CARBON STEEL
20130307,2013,MATERIAL_FAILURE,1973,CARBON STEEL
20130308,2013,MECHANICAL_DAMAGE,,
20130309,2013,OTHER,1986,CARBON STEEL
20130310,2013,OTHER,,CARBON STEEL
20130311,2013,MECHANICAL_DAMAGE,,
20130312,2013,OTHER,,CARBON STEEL
20130313,2013,MECHANICAL_DAMAGE,1978,CARBON STEEL
20130314,2013,MECHANICAL_DAMAGE,1973,CARBON STEEL
20130315,2013,OTHER,1955,CARBON STEEL
20130316,2013,OTHER,,
20130317,2013,MECHANICAL_DAMAGE,1940,CARBON STEEL
20130318,2013,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20130319,2013,OTHER,1977,CARBON STEEL
20130320,2013,MECHANICAL_DAMAGE,2011,MATERIAL OTHER THAN CARBON STEEL
20130321,2013,OTHER,,
20130322,2013,OTHER,1972,CARBON STEEL
20130323,2013,MATERIAL_FAILURE,1976,CARBON STEEL
20130325,2013,OTHER,,
20130327,2011,MECHANICAL_DAMAGE,2010,CARBON STEEL
20130328,2013,INTERNAL_CORROSION,2001,CARBON STEEL
20130329,2013,INTERNAL_CORROSION,,
20130330,2013,MECHANICAL_DAMAGE,,
20130331,2013,INTERNAL_CORROSION,,
20130332,2013,EXTERNAL_CORROSION,1979,CARBON STEEL
20130333,2013,EXTERNAL_CORROSION,1967,CARBON STEEL
20130334,2013,INTERNAL_CORROSION,1910,CARBON STEEL
20130335,2013,MECHANICAL_DAMAGE,2007,CARBON STEEL
20130336,2013,OTHER,1959,CARBON STEEL
20130337,2013,OTHER,,
20130338,2013,MECHANICAL_DAMAGE,1971,CARBON STEEL
20130339,2013,MECHANICAL_DAMAGE,,
20130340,2013,MATERIAL_FAILURE,1978,CARBON STEEL
20130341,2013,MATERIAL_FAILURE,1968,CARBON STEEL
20130342,2013,OTHER,1989,CARBON STEEL
20130343,2013,OTHER,,CARBON STEEL
20130345,2013,OTHER,2006,CARBON STEEL
20130346,2013,OTHER,,
20130347,2013,OTHER,1952,CARBON STEEL
20130348,2013,INTERNAL_CORROSION,1973,CARBON STEEL
20130349,2013,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20130350,2013,OTHER,2013,CARBON STEEL
20130351,2013,MECHANICAL_DAMAGE,,CARBON STEEL
20130353,2013,OTHER,1993,CARBON STEEL
20130354,2013,MECHANICAL_DAMAGE,1973,CARBON STEEL
20130355,2013,OTHER,2013,CARBON STEEL
20130356,2013,MECHANICAL_DAMAGE,,
20130357,2013,INTERNAL_CORROSION,,
20130358,2013,MECHANICAL_DAMAGE,2004,CARBON STEEL
20130359,2013,EXTERNAL_CORROSION,2012,CARBON STEEL
20130360,2013,MECHANICAL_DAMAGE,,
20130361,2013,MATERIAL_FAILURE,,
20130362,2013,OTHER,2013,CARBON STEEL
20130363,2013,OTHER,UNKNOWN,CARBON STEEL
20130364,2013,EXTERNAL_CORROSION,1968,CARBON STEEL
20130365,2013,MATERIAL_FAILURE,2006,CARBON STEEL
20130366,2013,OTHER,1965,CARBON STEEL
20130367,2013,EXTERNAL_CORROSION,,
20130368,2013,OTHER,1979,CARBON STEEL
20130369,2013,MECHANICAL_DAMAGE,2009,MATERIAL OTHER THAN CARBON STEEL
20130370,2013,INTERNAL_CORROSION,1952,CARBON STEEL
20130371,2013,MECHANICAL_DAMAGE,,
20130372,2013,MECHANICAL_DAMAGE,,
20130373,2013,EXTERNAL_CORROSION,1950,CARBON STEEL
20130374,2013,EXTERNAL_CORROSION,1922,CARBON STEEL
20130375,2013,MECHANICAL_DAMAGE,1991,MATERIAL OTHER THAN CARBON STEEL
20130376,2013,MECHANICAL_DAMAGE,,
20130377,2013,MECHANICAL_DAMAGE,1971,CARBON STEEL
20130378,2013,EXTERNAL_CORROSION,,
20130379,2013,OTHER,2010,MATERIAL OTHER THAN CARBON STEEL
20130380,2013,OTHER,2012,CARBON STEEL
20130381,2013,OTHER,1931,CARBON STEEL
20130382,2013,EXTERNAL_CORROSION,1980,CARBON STEEL
20130383,2013,OTHER,,CARBON STEEL
20130384,2013,OTHER,,
20130385,2013,MECHANICAL_DAMAGE,,
20130386,2013,MATERIAL_FAILURE,1958,CARBON STEEL
20130387,2013,MECHANICAL_DAMAGE,,
20130388,2013,MECHANICAL_DAMAGE,2009,CARBON STEEL
20130389,2013,MECHANICAL_DAMAGE,1988,CARBON STEEL
20130390,2013,OTHER,2013,CARBON STEEL
20130391,2013,MECHANICAL_DAMAGE,,CARBON STEEL
20130392,2013,INTERNAL_CORROSION,,
20130393,2013,OTHER,,
20130394,2013,MECHANICAL_DAMAGE,,
20130395,2013,INTERNAL_CORROSION,1950,CARBON STEEL
20130396,2013,MECHANICAL_DAMAGE,1988,CARBON STEEL
20130397,2013,INTERNAL_CORROSION,,CARBON STEEL
20130398,2013,MECHANICAL_DAMAGE,,CARBON STEEL
20130399,2013,INTERNAL_CORROSION,1970,CARBON STEEL
20130400,2013,MECHANICAL_DAMAGE,,
20130401,2013,EXTERNAL_CORROSION,1950,CARBON STEEL
20130402,2013,OTHER,UNKNOWN,CARBON STEEL
20130403,2013,OTHER,1953,CARBON STEEL
20130404,2013,MECHANICAL_DAMAGE,,
20130405,2013,MATERIAL_FAILURE,1968,CARBON STEEL
20130406,2013,MECHANICAL_DAMAGE,,
20130407,2013,MECHANICAL_DAMAGE,,
20130408,2013,OTHER,2013,CARBON STEEL
20130409,2013,MECHANICAL_DAMAGE,,
20130411,2013,OTHER,1968,CARBON STEEL
20140001,2013,MECHANICAL_DAMAGE,1967,MATERIAL OTHER THAN CARBON STEEL
20140002,2013,MECHANICAL_DAMAGE,1987,CARBON STEEL
20140003,2013,INTERNAL_CORROSION,,
20140004,2013,EXTERNAL_CORROSION,2013,CARBON STEEL
20140005,2013,EXTERNAL_CORROSION,1960,CARBON STEEL
20140006,2013,MECHANICAL_DAMAGE,1950,CARBON STEEL
20140007,2013,MECHANICAL_DAMAGE,1968,CARBON STEEL
20140008,2013,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20140009,2013,INTERNAL_CORROSION,1999,CARBON STEEL
20140010,2013,MECHANICAL_DAMAGE,1991,MATERIAL OTHER THAN CARBON STEEL
20140011,2013,EXTERNAL_CORROSION,1965,CARBON STEEL
20140012,2014,MECHANICAL_DAMAGE,2006,MATERIAL OTHER THAN CARBON STEEL
20140014,2014,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20140015,2014,MECHANICAL_DAMAGE,2013,CARBON STEEL
20140016,2013,MECHANICAL_DAMAGE,,
20140017,2013,OTHER,,
20140018,2013,OTHER,2002,CARBON STEEL
20140019,2013,MECHANICAL_DAMAGE,,CARBON STEEL
20140020,2013,MECHANICAL_DAMAGE,,
20140021,2014,MECHANICAL_DAMAGE,,
20140022,2014,EXTERNAL_CORROSION,1988,CARBON STEEL
20140023,2014,MECHANICAL_DAMAGE,,
20140024,2013,INTERNAL_CORROSION,1950,CARBON STEEL
20140025,2014,EXTERNAL_CORROSION,,
20140026,2013,MECHANICAL_DAMAGE,,
20140027,2013,INTERNAL_CORROSION,,CARBON STEEL
20140028,2013,OTHER,1987,CARBON STEEL
20140029,2014,MECHANICAL_DAMAGE,,
20140030,2014,MECHANICAL_DAMAGE,1998,CARBON STEEL
20140031,2014,OTHER,2013,MATERIAL OTHER THAN CARBON STEEL
20140032,2014,MECHANICAL_DAMAGE,1978,CARBON STEEL
20140033,2014,MECHANICAL_DAMAGE,,
20140034,2014,MECHANICAL_DAMAGE,,
20140035,2014,MECHANICAL_DAMAGE,,
20140036,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140037,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140038,2014,MECHANICAL_DAMAGE,2014,MATERIAL OTHER THAN CARBON STEEL
20140039,2014,OTHER,,
20140040,2014,MECHANICAL_DAMAGE,,
20140041,2014,OTHER,1948,MATERIAL OTHER THAN CARBON STEEL
20140042,2014,OTHER,,
20140043,2014,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20140044,2014,MECHANICAL_DAMAGE,,
20140045,2014,EXTERNAL_CORROSION,1957,CARBON STEEL
20140046,2014,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20140047,2014,MECHANICAL_DAMAGE,,
20140048,2014,OTHER,1966,MATERIAL OTHER THAN CARBON STEEL
20140049,2014,MECHANICAL_DAMAGE,,
20140050,2014,INTERNAL_CORROSION,,CARBON STEEL
20140051,2014,OTHER,1939,CARBON STEEL
20140052,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140053,2014,OTHER,2002,CARBON STEEL
20140054,2014,MECHANICAL_DAMAGE,,
20140055,2014,INTERNAL_CORROSION,,CARBON STEEL
20140056,2014,MECHANICAL_DAMAGE,2011,CARBON STEEL
20140057,2014,OTHER,1932,CARBON STEEL
20140058,2014,MECHANICAL_DAMAGE,,
20140059,2014,MECHANICAL_DAMAGE,,
20140060,2014,EXTERNAL_CORROSION,1926,CARBON STEEL
20140061,2014,MECHANICAL_DAMAGE,,
20140062,2014,OTHER,,
20140063,2014,MECHANICAL_DAMAGE,,
20140064,2014,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20140065,2014,MECHANICAL_DAMAGE,,
20140066,2014,MECHANICAL_DAMAGE,,
20140067,2014,MECHANICAL_DAMAGE,2011,MATERIAL OTHER THAN CARBON STEEL
20140068,2014,MECHANICAL_DAMAGE,,
20140069,2014,EXTERNAL_CORROSION,,
20140070,2014,MECHANICAL_DAMAGE,,
20140071,2014,MECHANICAL_DAMAGE,1977,CARBON STEEL
20140072,2014,MECHANICAL_DAMAGE,1968,CARBON STEEL
20140073,2014,MATERIAL_FAILURE,1984,CARBON STEEL
20140075,2014,MECHANICAL_DAMAGE,,
20140076,2014,MECHANICAL_DAMAGE,,
20140077,2014,MECHANICAL_DAMAGE,,
20140078,2014,OTHER,2007,MATERIAL OTHER THAN CARBON STEEL
20140079,2014,MATERIAL_FAILURE,1944,CARBON STEEL
20140080,2014,INTERNAL_CORROSION,,CARBON STEEL
20140081,2014,OTHER,UNKNOWN,CARBON STEEL
20140082,2014,MECHANICAL_DAMAGE,,
20140083,2014,OTHER,,
20140084,2014,MECHANICAL_DAMAGE,1994,CARBON STEEL
20140085,2014,OTHER,,
20140086,2014,MECHANICAL_DAMAGE,2005,MATERIAL OTHER THAN CARBON STEEL
20140087,2014,OTHER,2004,CARBON STEEL
20140088,2014,MECHANICAL_DAMAGE,,
20140089,2014,MECHANICAL_DAMAGE,,
20140090,2014,OTHER,1997,CARBON STEEL
20140091,2014,MECHANICAL_DAMAGE,,
20140092,2014,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20140093,2014,MECHANICAL_DAMAGE,2011,CARBON STEEL
20140094,2014,INTERNAL_CORROSION,,CARBON STEEL
20140095,2014,INTERNAL_CORROSION,1951,CARBON STEEL
20140096,2014,MECHANICAL_DAMAGE,,
20140097,2013,MATERIAL_FAILURE,1940,CARBON STEEL
20140098,2014,MECHANICAL_DAMAGE,,
20140099,2014,MECHANICAL_DAMAGE,1950,CARBON STEEL
20140100,2014,OTHER,,
20140101,2014,OTHER,2013,MATERIAL OTHER THAN CARBON STEEL
20140102,2014,MECHANICAL_DAMAGE,,
20140103,2014,MECHANICAL_DAMAGE,,
20140104,2014,MECHANICAL_DAMAGE,1978,CARBON STEEL
20140105,2014,INTERNAL_CORROSION,2009,CARBON STEEL
20140106,2014,OTHER,2005,CARBON STEEL
20140107,2014,INTERNAL_CORROSION,1972,CARBON STEEL
20140108,2014,MATERIAL_FAILURE,,
20140109,2014,OTHER,,
20140110,2014,INTERNAL_CORROSION,1966,CARBON STEEL
20140111,2014,INTERNAL_CORROSION,,CARBON STEEL
20140112,2014,EXTERNAL_CORROSION,1940,CARBON STEEL
20140113,2014,INTERNAL_CORROSION,1950,CARBON STEEL
20140114,2014,EXTERNAL_CORROSION,,
20140115,2014,INTERNAL_CORROSION,1932,CARBON STEEL
20140116,2014,MECHANICAL_DAMAGE,,
20140117,2014,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20140118,2014,INTERNAL_CORROSION,1992,CARBON STEEL
20140119,2014,MECHANICAL_DAMAGE,,
20140120,2014,MECHANICAL_DAMAGE,,
20140121,2014,EXTERNAL_CORROSION,1966,CARBON STEEL
20140122,2014,MECHANICAL_DAMAGE,,
20140123,2014,MECHANICAL_DAMAGE,,
20140124,2014,MECHANICAL_DAMAGE,,
20140125,2014,INTERNAL_CORROSION,1979,CARBON STEEL
20140126,2014,INTERNAL_CORROSION,1952,CARBON STEEL
20140127,2014,MECHANICAL_DAMAGE,2014,MATERIAL OTHER THAN CARBON STEEL
20140128,2014,MECHANICAL_DAMAGE,,
20140129,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140130,2014,MECHANICAL_DAMAGE,1948,CARBON STEEL
20140131,2014,MECHANICAL_DAMAGE,2007,CARBON STEEL
20140132,2014,OTHER,,
20140133,2014,MECHANICAL_DAMAGE,1983,MATERIAL OTHER THAN CARBON STEEL
20140134,2014,MECHANICAL_DAMAGE,2004,MATERIAL OTHER THAN CARBON STEEL
20140135,2014,MECHANICAL_DAMAGE,2014,CARBON STEEL
20140136,2014,MECHANICAL_DAMAGE,,
20140137,2014,MECHANICAL_DAMAGE,,
20140138,2014,MATERIAL_FAILURE,1948,CARBON STEEL
20140139,2014,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20140140,2014,OTHER,1939,CARBON STEEL
20140141,2014,MECHANICAL_DAMAGE,1994,MATERIAL OTHER THAN CARBON STEEL
20140142,2014,OTHER,1949,CARBON STEEL
20140143,2014,MECHANICAL_DAMAGE,,
20140144,2014,MECHANICAL_DAMAGE,2011,CARBON STEEL
20140145,2014,MECHANICAL_DAMAGE,,
20140146,2014,MECHANICAL_DAMAGE,,
20140147,2014,MECHANICAL_DAMAGE,,
20140148,2014,MECHANICAL_DAMAGE,1950,CARBON STEEL
20140149,2014,OTHER,,
20140150,2014,MECHANICAL_DAMAGE,,
20140151,2014,INTERNAL_CORROSION,1997,CARBON STEEL
20140152,2014,MATERIAL_FAILURE,1950,CARBON STEEL
20140153,2014,OTHER,,
20140154,2014,INTERNAL_CORROSION,,
20140155,2014,MATERIAL_FAILURE,1951,CARBON STEEL
20140156,2014,MECHANICAL_DAMAGE,1999,MATERIAL OTHER THAN CARBON STEEL
20140157,2014,MECHANICAL_DAMAGE,,
20140158,2014,OTHER,,CARBON STEEL
20140160,2014,MECHANICAL_DAMAGE,,
20140161,2014,MECHANICAL_DAMAGE,1962,MATERIAL OTHER THAN CARBON STEEL
20140162,2014,MECHANICAL_DAMAGE,2014,CARBON STEEL
20140163,2014,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20140164,2014,OTHER,,
20140165,2014,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20140166,2014,MECHANICAL_DAMAGE,,
20140167,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140168,2014,INTERNAL_CORROSION,2006,CARBON STEEL
20140169,2014,MECHANICAL_DAMAGE,,
20140170,2014,MATERIAL_FAILURE,1967,CARBON STEEL
20140171,2014,OTHER,UNKNOWN,CARBON STEEL
20140172,2014,EXTERNAL_CORROSION,,
20140173,2014,MECHANICAL_DAMAGE,,
20140174,2014,MECHANICAL_DAMAGE,,
20140175,2014,OTHER,1945,CARBON STEEL
20140176,2014,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20140177,2014,OTHER,1960,CARBON STEEL
20140178,2014,OTHER,1989,CARBON STEEL
20140179,2014,MECHANICAL_DAMAGE,,
20140180,2014,OTHER,,
20140181,2014,OTHER,,CARBON STEEL
20140182,2014,MECHANICAL_DAMAGE,,
20140183,2014,MECHANICAL_DAMAGE,,
20140184,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140185,2014,MATERIAL_FAILURE,1965,CARBON STEEL
20140186,2014,EXTERNAL_CORROSION,1971,CARBON STEEL
20140187,2014,MECHANICAL_DAMAGE,1947,CARBON STEEL
20140188,2014,MECHANICAL_DAMAGE,,
20140189,2014,MECHANICAL_DAMAGE,,
20140190,2014,MECHANICAL_DAMAGE,,
20140191,2014,EXTERNAL_CORROSION,1955,CARBON STEEL
20140192,2014,OTHER,,
20140193,2014,OTHER,2000,CARBON STEEL
20140194,2014,OTHER,,
20140195,2014,MECHANICAL_DAMAGE,1963,MATERIAL OTHER THAN CARBON STEEL
20140196,2014,INTERNAL_CORROSION,,CARBON STEEL
20140197,2014,EXTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20140198,2014,MECHANICAL_DAMAGE,,
20140199,2014,OTHER,1967,CARBON STEEL
20140200,2014,MECHANICAL_DAMAGE,2012,MATERIAL OTHER THAN CARBON STEEL
20140201,2014,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20140202,2014,INTERNAL_CORROSION,1990,CARBON STEEL
20140203,2014,MECHANICAL_DAMAGE,,
20140204,2014,INTERNAL_CORROSION,1953,CARBON STEEL
20140205,2014,MECHANICAL_DAMAGE,1963,CARBON STEEL
20140206,2014,MECHANICAL_DAMAGE,2005,CARBON STEEL
20140207,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140208,2014,OTHER,,
20140209,2014,OTHER,2014,CARBON STEEL
20140210,2014,MECHANICAL_DAMAGE,2006,CARBON STEEL
20140211,2014,EXTERNAL_CORROSION,,
20140212,2014,MECHANICAL_DAMAGE,,CARBON STEEL
20140213,2014,MECHANICAL_DAMAGE,,
20140214,2014,MECHANICAL_DAMAGE,,
20140215,2014,MECHANICAL_DAMAGE,,
20140216,2014,MECHANICAL_DAMAGE,2010,CARBON STEEL
20140217,2014,OTHER,,
20140218,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140219,2014,MECHANICAL_DAMAGE,,
20140220,2014,MECHANICAL_DAMAGE,,
20140221,2014,EXTERNAL_CORROSION,1981,CARBON STEEL
20140222,2014,MECHANICAL_DAMAGE,1954,CARBON STEEL
20140223,2014,EXTERNAL_CORROSION,1989,CARBON STEEL
20140224,2014,INTERNAL_CORROSION,,CARBON STEEL
20140225,2014,MECHANICAL_DAMAGE,1930,CARBON STEEL
20140226,2014,OTHER,2014,MATERIAL OTHER THAN CARBON STEEL
20140227,2014,MECHANICAL_DAMAGE,1988,CARBON STEEL
20140228,2014,OTHER,,CARBON STEEL
20140229,2014,INTERNAL_CORROSION,,
20140230,2014,MECHANICAL_DAMAGE,,
20140231,2014,MECHANICAL_DAMAGE,,CARBON STEEL
20140232,2014,MECHANICAL_DAMAGE,1971,MATERIAL OTHER THAN CARBON STEEL
20140233,2014,OTHER,2014,CARBON STEEL
20140234,2014,OTHER,2008,MATERIAL OTHER THAN CARBON STEEL
20140235,2014,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20140236,2014,MECHANICAL_DAMAGE,,
20140237,2014,INTERNAL_CORROSION,,
20140238,2014,OTHER,2011,CARBON STEEL
20140239,2014,OTHER,2011,CARBON STEEL
20140240,2014,MECHANICAL_DAMAGE,,
20140241,2014,MECHANICAL_DAMAGE,,
20140242,2014,OTHER,1974,CARBON STEEL
20140243,2014,OTHER,1989,CARBON STEEL
20140244,2014,MECHANICAL_DAMAGE,1962,CARBON STEEL
20140245,2014,INTERNAL_CORROSION,1963,CARBON STEEL
20140246,2014,OTHER,,CARBON STEEL
20140247,2014,MECHANICAL_DAMAGE,2009,CARBON STEEL
20140248,2014,OTHER,2014,CARBON STEEL
20140249,2014,OTHER,,
20140250,2014,OTHER,,
20140251,2014,MECHANICAL_DAMAGE,,
20140252,2014,EXTERNAL_CORROSION,,
20140253,2014,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20140255,2014,MECHANICAL_DAMAGE,,
20140256,2014,OTHER,2010,CARBON STEEL
20140257,2014,OTHER,1984,CARBON STEEL
20140258,2014,MECHANICAL_DAMAGE,2014,CARBON STEEL
20140259,2014,MECHANICAL_DAMAGE,,
20140260,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140261,2014,INTERNAL_CORROSION,,
20140262,2014,MECHANICAL_DAMAGE,2013,CARBON STEEL
20140263,2014,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20140264,2014,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20140265,2014,INTERNAL_CORROSION,1967,CARBON STEEL
20140266,2014,MATERIAL_FAILURE,1967,CARBON STEEL
20140267,2014,OTHER,2004,CARBON STEEL
20140268,2014,INTERNAL_CORROSION,1969,CARBON STEEL
20140269,2014,MECHANICAL_DAMAGE,,
20140270,2014,MECHANICAL_DAMAGE,,
20140271,2014,OTHER,1952,CARBON STEEL
20140272,2014,INTERNAL_CORROSION,2012,CARBON STEEL
20140273,2014,MATERIAL_FAILURE,,
20140274,2014,EXTERNAL_CORROSION,,
20140275,2014,OTHER,1976,CARBON STEEL
20140276,2014,MECHANICAL_DAMAGE,,CARBON STEEL
20140277,2014,INTERNAL_CORROSION,1953,CARBON STEEL
20140278,2014,MECHANICAL_DAMAGE,,
20140279,2014,MECHANICAL_DAMAGE,,CARBON STEEL
20140280,2014,INTERNAL_CORROSION,1978,CARBON STEEL
20140281,2014,MECHANICAL_DAMAGE,,
20140282,2014,MECHANICAL_DAMAGE,,
20140283,2014,MECHANICAL_DAMAGE,,
20140284,2014,OTHER,1995,CARBON STEEL
20140285,2014,MECHANICAL_DAMAGE,1972,CARBON STEEL
20140286,2014,MECHANICAL_DAMAGE,,
20140287,2014,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20140288,2014,INTERNAL_CORROSION,2007,CARBON STEEL
20140289,2014,OTHER,1971,CARBON STEEL
20140290,2014,OTHER,,
20140291,2014,OTHER,2014,MATERIAL OTHER THAN CARBON STEEL
20140292,2014,MECHANICAL_DAMAGE,,
20140293,2014,MECHANICAL_DAMAGE,1969,MATERIAL OTHER THAN CARBON STEEL
20140294,2014,MECHANICAL_DAMAGE,2013,MATERIAL OTHER THAN CARBON STEEL
20140295,2014,EXTERNAL_CORROSION,2004,CARBON STEEL
20140296,2014,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20140297,2014,OTHER,,CARBON STEEL
20140298,2014,MECHANICAL_DAMAGE,2013,CARBON STEEL
20140299,2014,OTHER,1978,CARBON STEEL
20140300,2014,EXTERNAL_CORROSION,1966,CARBON STEEL
20140301,2014,INTERNAL_CORROSION,1955,CARBON STEEL
20140302,2014,MECHANICAL_DAMAGE,,
20140303,2014,MECHANICAL_DAMAGE,2011,MATERIAL OTHER THAN CARBON STEEL
20140304,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140305,2014,MECHANICAL_DAMAGE,1985,MATERIAL OTHER THAN CARBON STEEL
20140306,2014,INTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20140307,2014,INTERNAL_CORROSION,1968,CARBON STEEL
20140308,2014,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20140309,2014,MECHANICAL_DAMAGE,,
20140310,2014,OTHER,1952,CARBON STEEL
20140311,2014,INTERNAL_CORROSION,1951,CARBON STEEL
20140312,2014,MECHANICAL_DAMAGE,,
20140313,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140314,2014,OTHER,,CARBON STEEL
20140315,2014,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20140316,2014,OTHER,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20140317,2014,INTERNAL_CORROSION,2004,CARBON STEEL
20140318,2014,OTHER,2014,MATERIAL OTHER THAN CARBON STEEL
20140319,2014,MECHANICAL_DAMAGE,,
20140320,2014,INTERNAL_CORROSION,1949,CARBON STEEL
20140321,2014,MATERIAL_FAILURE,1973,CARBON STEEL
20140322,2014,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20140323,2014,OTHER,1980,CARBON STEEL
20140324,2014,OTHER,1989,MATERIAL OTHER THAN CARBON STEEL
20140325,2014,INTERNAL_CORROSION,1976,CARBON STEEL
20140326,2014,MECHANICAL_DAMAGE,,
20140327,2014,INTERNAL_CORROSION,,
20140328,2014,OTHER,1996,CARBON STEEL
20140329,2014,MECHANICAL_DAMAGE,,
20140330,2014,MATERIAL_FAILURE,1979,CARBON STEEL
20140331,2014,INTERNAL_CORROSION,,
20140332,2014,OTHER,2014,MATERIAL OTHER THAN CARBON STEEL
20140333,2014,INTERNAL_CORROSION,1952,CARBON STEEL
20140334,2014,MECHANICAL_DAMAGE,,
20140335,2014,OTHER,2014,CARBON STEEL
20140336,2014,MECHANICAL_DAMAGE,2002,MATERIAL OTHER THAN CARBON STEEL
20140337,2014,INTERNAL_CORROSION,1996,CARBON STEEL
20140338,2014,MECHANICAL_DAMAGE,,
