reportNumber,incidentYear,cause,installationYear,material
20100111,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100112,2010,MECHANICAL_DAMAGE,1988,MATERIAL OTHER THAN CARBON STEEL
20100113,2010,EXTERNAL_CORROSION,,CARBON STEEL
20100114,2010,EXTERNAL_CORROSION,1965,CARBON STEEL
20100115,2010,MATERIAL_FAILURE,1964,CARBON STEEL
20100116,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100117,2010,EXTERNAL_CORROSION,,
20100118,2010,EXTERNAL_CORROSION,1976,CARBON STEEL
20100119,2010,MECHANICAL_DAMAGE,2009,CARBON STEEL
20100120,2010,INTERNAL_CORROSION,1949,CARBON STEEL
20100121,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100122,2010,MECHANICAL_DAMAGE,,
20100123,2010,MATERIAL_FAILURE,1988,CARBON STEEL
20100124,2010,OTHER,1975,CARBON STEEL
20100125,2010,MECHANICAL_DAMAGE,,
20100126,2010,OTHER,,CARBON STEEL
20100127,2010,INTERNAL_CORROSION,,
20100128,2010,MATERIAL_FAILURE,1948,CARBON STEEL
20100129,2010,MECHANICAL_DAMAGE,,
20100130,2010,MATERIAL_FAILURE,1953,CARBON STEEL
20100131,2010,MECHANICAL_DAMAGE,2010,CARBON STEEL
20100132,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100133,2010,EXTERNAL_CORROSION,1942,CARBON STEEL
20100134,2010,MECHANICAL_DAMAGE,,
20100135,2010,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20100136,2010,MECHANICAL_DAMAGE,2007,CARBON STEEL
20100137,2010,MECHANICAL_DAMAGE,1992,CARBON STEEL
20100138,2010,MECHANICAL_DAMAGE,2008,CARBON STEEL
20100139,2010,EXTERNAL_CORROSION,1982,CARBON STEEL
20100140,2010,MATERIAL_FAILURE,1968,CARBON STEEL
20100142,2010,MATERIAL_FAILURE,1958,CARBON STEEL
20100143,2010,MECHANICAL_DAMAGE,,
20100144,2010,MECHANICAL_DAMAGE,,
20100145,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100146,2010,OTHER,1952,CARBON STEEL
20100147,2010,OTHER,1984,CARBON STEEL
20100148,2010,MECHANICAL_DAMAGE,,
20100149,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100150,2010,OTHER,,CARBON STEEL
20100151,2010,MECHANICAL_DAMAGE,1995,CARBON STEEL
20100152,2010,OTHER,,
20100153,2010,MECHANICAL_DAMAGE,,
20100154,2010,OTHER,2010,CARBON STEEL
20100155,2010,INTERNAL_CORROSION,,
20100156,2010,MECHANICAL_DAMAGE,2002,MATERIAL OTHER THAN CARBON STEEL
20100157,2010,INTERNAL_CORROSION,1978,CARBON STEEL
20100158,2010,EXTERNAL_CORROSION,1946,CARBON STEEL
20100159,2010,MATERIAL_FAILURE,1967,CARBON STEEL
20100160,2010,INTERNAL_CORROSION,,
20100161,2010,EXTERNAL_CORROSION,,CARBON STEEL
20100162,2010,MECHANICAL_DAMAGE,2009,CARBON STEEL
20100163,2010,MECHANICAL_DAMAGE,1961,CARBON STEEL
20100165,2010,OTHER,1997,CARBON STEEL
20100166,2010,MECHANICAL_DAMAGE,2009,CARBON STEEL
20100167,2010,MECHANICAL_DAMAGE,,
20100168,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100169,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100170,2010,INTERNAL_CORROSION,,CARBON STEEL
20100171,2010,MECHANICAL_DAMAGE,2005,CARBON STEEL
20100172,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100173,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100174,2010,INTERNAL_CORROSION,1977,CARBON STEEL
20100175,2010,INTERNAL_CORROSION,,
20100176,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100177,2010,OTHER,2000,CARBON STEEL
20100178,2010,MECHANICAL_DAMAGE,1957,MATERIAL OTHER THAN CARBON STEEL
20100179,2010,MATERIAL_FAILURE,1968,CARBON STEEL
20100180,2010,INTERNAL_CORROSION,1974,CARBON STEEL
20100181,2010,MATERIAL_FAILURE,1969,CARBON STEEL
20100182,2010,MECHANICAL_DAMAGE,,
20100183,2010,MECHANICAL_DAMAGE,1998,CARBON STEEL
20100184,2010,MECHANICAL_DAMAGE,1951,MATERIAL OTHER THAN CARBON STEEL
20100185,2010,MECHANICAL_DAMAGE,1988,CARBON STEEL
20100186,2010,INTERNAL_CORROSION,1954,CARBON STEEL
20100187,2010,MECHANICAL_DAMAGE,1950,CARBON STEEL
20100188,2010,INTERNAL_CORROSION,,CARBON STEEL
20100189,2010,OTHER,,CARBON STEEL
20100190,2010,INTERNAL_CORROSION,,
20100191,2010,OTHER,,CARBON STEEL
20100192,2010,MECHANICAL_DAMAGE,,
20100193,2010,MECHANICAL_DAMAGE,1994,CARBON STEEL
20100194,2010,MECHANICAL_DAMAGE,,
20100195,2010,MATERIAL_FAILURE,1976,CARBON STEEL
20100196,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100197,2010,INTERNAL_CORROSION,2004,CARBON STEEL
20100198,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100199,2010,EXTERNAL_CORROSION,1965,CARBON STEEL
20100200,2010,MECHANICAL_DAMAGE,2009,CARBON STEEL
20100201,2010,EXTERNAL_CORROSION,1948,CARBON STEEL
20100202,2010,OTHER,2000,CARBON STEEL
20100203,2010,MECHANICAL_DAMAGE,1980,MATERIAL OTHER THAN CARBON STEEL
20100204,2010,OTHER,,
20100205,2010,INTERNAL_CORROSION,1959,CARBON STEEL
20100206,2010,INTERNAL_CORROSION,,
20100207,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100208,2010,MECHANICAL_DAMAGE,1990,MATERIAL OTHER THAN CARBON STEEL
20100209,2010,OTHER,2000,MATERIAL OTHER THAN CARBON STEEL
20100210,2010,OTHER,2002,MATERIAL OTHER THAN CARBON STEEL
20100211,2010,MECHANICAL_DAMAGE,1999,CARBON STEEL
20100212,2010,MECHANICAL_DAMAGE,UNKNOWN,CARBON STEEL
20100213,2010,OTHER,1977,CARBON STEEL
20100214,2010,OTHER,2002,MATERIAL OTHER THAN CARBON STEEL
20100215,2010,OTHER,2000,CARBON STEEL
20100216,2010,MECHANICAL_DAMAGE,,
20100217,2010,OTHER,,CARBON STEEL
20100218,2010,OTHER,,CARBON STEEL
20100219,2010,MECHANICAL_DAMAGE,2009,MATERIAL OTHER THAN CARBON STEEL
20100220,2010,MATERIAL_FAILURE,1963,CARBON STEEL
20100221,2010,OTHER,1968,CARBON STEEL
20100222,2010,OTHER,1960,CARBON STEEL
20100223,2010,OTHER,,
20100224,2010,OTHER,1954,CARBON STEEL
20100225,2010,MATERIAL_FAILURE,,
20100226,2010,EXTERNAL_CORROSION,1958,CARBON STEEL
20100227,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100228,2010,MATERIAL_FAILURE,1952,CARBON STEEL
20100229,2010,OTHER,,
20100230,2010,OTHER,,
20100231,2010,INTERNAL_CORROSION,,CARBON STEEL
20100232,2010,MATERIAL_FAILURE,,
20100233,2010,MATERIAL_FAILURE,1952,CARBON STEEL
20100234,2010,INTERNAL_CORROSION,,
20100235,2010,OTHER,,
20100236,2010,MECHANICAL_DAMAGE,,
20100237,2010,MECHANICAL_DAMAGE,,
20100238,2010,MECHANICAL_DAMAGE,1997,CARBON STEEL
20100239,2010,EXTERNAL_CORROSION,,CARBON STEEL
20100240,2010,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20100241,2010,OTHER,1955,CARBON STEEL
20100242,2010,INTERNAL_CORROSION,,
20100243,2010,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20100244,2010,OTHER,,
20100245,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100246,2010,EXTERNAL_CORROSION,1981,CARBON STEEL
20100247,2010,OTHER,,CARBON STEEL
20100248,2010,MECHANICAL_DAMAGE,,
20100249,2010,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20100250,2010,MECHANICAL_DAMAGE,,
20100251,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100252,2010,MATERIAL_FAILURE,1967,CARBON STEEL
20100253,2010,OTHER,,
20100254,2010,MECHANICAL_DAMAGE,,
20100255,2010,OTHER,,
20100256,2010,MECHANICAL_DAMAGE,,
20100257,2010,MECHANICAL_DAMAGE,,
20100258,2010,MECHANICAL_DAMAGE,1960,CARBON STEEL
20100259,2010,MECHANICAL_DAMAGE,,
20100260,2010,OTHER,,
20100261,2010,MECHANICAL_DAMAGE,,
20100262,2010,MATERIAL_FAILURE,1969,CARBON STEEL
20100263,2010,INTERNAL_CORROSION,,
20100264,2010,MECHANICAL_DAMAGE,,
20100265,2010,MECHANICAL_DAMAGE,,
20100266,2010,MECHANICAL_DAMAGE,,
20100267,2010,MECHANICAL_DAMAGE,,
20100268,2010,MECHANICAL_DAMAGE,1979,CARBON STEEL
20100269,2010,MECHANICAL_DAMAGE,,
20100270,2010,MECHANICAL_DAMAGE,2008,MATERIAL OTHER THAN CARBON STEEL
20100271,2010,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20100272,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100273,2010,MECHANICAL_DAMAGE,,
20100274,2010,MECHANICAL_DAMAGE,1993,MATERIAL OTHER THAN CARBON STEEL
20100275,2010,MECHANICAL_DAMAGE,1975,CARBON STEEL
20100276,2010,MECHANICAL_DAMAGE,2009,MATERIAL OTHER THAN CARBON STEEL
20100277,2010,MECHANICAL_DAMAGE,UNKNOWN,MATERIAL OTHER THAN CARBON STEEL
20100278,2010,EXTERNAL_CORROSION,1943,CARBON STEEL
20100279,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100280,2010,MECHANICAL_DAMAGE,,
20100281,2010,MECHANICAL_DAMAGE,,
20100282,2010,OTHER,,CARBON STEEL
20100283,2010,INTERNAL_CORROSION,,
20100284,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20100285,2010,OTHER,,
20100287,2010,EXTERNAL_CORROSION,1952,CARBON STEEL
20100288,2010,INTERNAL_CORROSION,1954,CARBON STEEL
20100289,2010,EXTERNAL_CORROSION,,
20100290,2010,MATERIAL_FAILURE,1954,CARBON STEEL
20100291,2010,MECHANICAL_DAMAGE,1963,CARBON STEEL
20100292,2010,MECHANICAL_DAMAGE,1973,CARBON STEEL
20100293,2010,MECHANICAL_DAMAGE,,
20100294,2010,MATERIAL_FAILURE,1929,CARBON STEEL
20100295,2010,MECHANICAL_DAMAGE,,
20100296,2010,MECHANICAL_DAMAGE,,
20100297,2010,MECHANICAL_DAMAGE,,
20100298,2010,MECHANICAL_DAMAGE,,
20100299,2010,MATERIAL_FAILURE,1968,CARBON STEEL
20100300,2010,MECHANICAL_DAMAGE,2007,CARBON STEEL
20100301,2010,OTHER,,
20100302,2010,MECHANICAL_DAMAGE,,
20100303,2010,MECHANICAL_DAMAGE,,
20100304,2010,MECHANICAL_DAMAGE,,
20100305,2010,EXTERNAL_CORROSION,,
20100306,2010,MECHANICAL_DAMAGE,,
20100307,2010,MECHANICAL_DAMAGE,,
20100308,2010,MECHANICAL_DAMAGE,2005,CARBON STEEL
20100309,2010,INTERNAL_CORROSION,,
20100310,2010,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20100311,2010,MATERIAL_FAILURE,1981,CARBON STEEL
20100312,2010,MATERIAL_FAILURE,,
20100313,2010,MECHANICAL_DAMAGE,,
20100314,2010,MECHANICAL_DAMAGE,,
20100315,2010,OTHER,1951,CARBON STEEL
20100316,2010,INTERNAL_CORROSION,1932,CARBON STEEL
20100317,2010,OTHER,,CARBON STEEL
20110002,2010,OTHER,,
20110003,2010,MECHANICAL_DAMAGE,,
20110004,2010,INTERNAL_CORROSION,1982,CARBON STEEL
20110005,2010,MECHANICAL_DAMAGE,,
20110007,2010,OTHER,,
20110008,2010,MECHANICAL_DAMAGE,1960,CARBON STEEL
20110009,2010,EXTERNAL_CORROSION,1971,CARBON STEEL
20110010,2010,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20110011,2010,MECHANICAL_DAMAGE,1958,CARBON STEEL
20110012,2010,INTERNAL_CORROSION,1973,CARBON STEEL
20110013,2010,MECHANICAL_DAMAGE,,
20110014,2010,OTHER,1954,CARBON STEEL
20110015,2010,MECHANICAL_DAMAGE,,
20110016,2010,EXTERNAL_CORROSION,,
20110017,2010,MECHANICAL_DAMAGE,,CARBON STEEL
20110018,2010,INTERNAL_CORROSION,1994,CARBON STEEL
20110019,2010,MECHANICAL_DAMAGE,,
20110020,2010,EXTERNAL_CORROSION,,
20110021,2010,MATERIAL_FAILURE,2009,CARBON STEEL
20110022,2011,MECHANICAL_DAMAGE,,
20110023,2011,MECHANICAL_DAMAGE,,
20110024,2010,OTHER,,
20110025,2010,INTERNAL_CORROSION,1935,CARBON STEEL
20110026,2011,MECHANICAL_DAMAGE,2010,MATERIAL OTHER THAN CARBON STEEL
20110027,2010,EXTERNAL_CORROSION,1968,CARBON STEEL
20110028,2011,OTHER,,MATERIAL OTHER THAN CARBON STEEL
20110029,2011,MECHANICAL_DAMAGE,1979,CARBON STEEL
20110030,2010,MECHANICAL_DAMAGE,2009,CARBON STEEL
20110031,2011,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20110032,2011,MECHANICAL_DAMAGE,,CARBON STEEL
20110033,2011,MECHANICAL_DAMAGE,,
20110034,2011,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20110035,2011,EXTERNAL_CORROSION,,
20110036,2010,MATERIAL_FAILURE,1981,CARBON STEEL
20110037,2010,MECHANICAL_DAMAGE,,
20110038,2011,INTERNAL_CORROSION,1975,CARBON STEEL
20110039,2011,OTHER,,
20110040,2011,OTHER,,
20110041,2011,INTERNAL_CORROSION,,
20110042,2011,OTHER,,
20110043,2011,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20110044,2011,MECHANICAL_DAMAGE,,MATERIAL OTHER THAN CARBON STEEL
20110045,2011,INTERNAL_CORROSION,1959,CARBON STEEL
20110046,2011,MECHANICAL_DAMAGE,,
20110047,2011,MECHANICAL_DAMAGE,1995,CARBON STEEL
20110048,2011,INTERNAL_CORROSION,,
